15	0.39	23.4	0.437		6	0.58	34.8	0.454		6	0.35	21	0.062		1	0.49	29.4	0.218		12	0.44	26.4	0.129		20	0.1	6	0.207		4	0.76	45.6	0.096		32	0.35	21	0.273
16	0.14	8.4	0.211		7	0.21	12.6	0.299		7	0.57	34.2	0.029		2	0.48	28.8	0.11		13	0.37	22.2	0.131		21	0.14	8.4	0.25		5	0.36	21.6	0.081		33	0.47	28.2	0.132
17	0.26	15.6	0.216		8	0.25	15	0.319		8	0.42	25.2	0.138		3	0.74	44.4	0.09		14	0.22	13.2	0.179		22	0.45	27	0.079		6	0.36	21.6	0.337		34	0.65	39	0.234
1	0.17	10.2	0.204		9	0.23	13.8	0.185		9	0.41	24.6	0.157		4	0.54	32.4	0.232		15	0.38	22.8	0.127		23	0.42	25.2	0.136		7	0.72	43.2	0.213		35	0.5	30	0.278
2	0.12	7.2	0.132		10	0.27	16.2	0.132		10	0.32	19.2	0.357		5	0.56	33.6	0.04		16	0.3	18	0.134		24	0.3	18	0.154		8	0.58	34.8	0.071		1	0.72	43.2	0.203
3	0.28	16.8	0.33		11	0.15	9	0.23		11	0.54	32.4	0.183		6	0.51	30.6	0.079		17	0.18	10.8	0.256		25	0.44	26.4	0.221		9	0.43	25.8	0.198		2	0.24	14.4	0.072
4	0.21	12.6	0.191		12	0.51	30.6	0.57		12	0.75	45	0.088		7	0.63	37.8	0.211		18	0.66	39.6	0.187		26	0.42	25.2	0.213		10	0.4	24	0.14		3	0.56	33.6	0.067
5	0.19	11.4	0.28							13	0.57	34.2	0.138		8	0.52	31.2	0.173		19	0.7	42	0.171		1	0.43	25.8	0.171		11	0.82	49.2	0.13		4	0.11	6.6	0.137
6	0.23	13.8	0.173							14	0.32	19.2	0.214		9	0.57	34.2	0.23		20	0.38	22.8	0.179		2	0.42	25.2	0.133		12	0.34	20.4	0.265		5	0.38	22.8	0.232
7	0.15	9	0.231							15	0.93	55.8	0.145		10	0.4	24	0.281		1	0.62	37.2	0.248		3	0.27	16.2	0.183		13	0.53	31.8	0.206		6	0.4	24	0.167
8	0.11	6.6	0.245							16	0.43	25.8	0.316		11	0.42	25.2	0.147		2	0.35	21	0.199		4	0.21	12.6	0.128		14	0.13	7.8	0.173		7	0.45	27	0.417
9	0.2	12	0.396							17	0.32	19.2	0.351		12	0.71	42.6	0.212		3	0.72	43.2	0.096		5	0.81	48.6	0.135		15	0.34	20.4	0.25		8	0.24	14.4	0.117
